post_id,platform,post_type,day_of_week,hour_of_day,is_weekend,hashtag_count,caption_length,follower_count,likes,comments,shares,engagement_rate
P00380,linkedin,video,Tue,17,0,0,143,38274,1397,149,226,4.754
P00381,instagram,text,Mon,14,0,16,213,133857,2174,355,305,2.038
P00382,instagram,carousel,Wed,4,0,4,193,196634,5793,435,755,3.622
P00383,instagram,video,Sat,16,1,2,111,170085,7955,757,1045,5.552
P00384,instagram,video,Sun,17,1,17,278,9621,324,26,39,4.473
P00385,linkedin,text,Thu,2,0,3,223,23237,247,24,19,1.469
P00386,twitter,carousel,Fri,3,0,10,31,125932,2700,397,241,2.898
P00387,instagram,text,Sat,16,1,9,199,184956,5698,494,873,4.266
P00388,linkedin,image,Sun,2,1,15,158,168883,3686,292,693,2.875
P00389,instagram,text,Tue,21,0,0,319,180832,4297,686,272,2.86
P00390,facebook,video,Sun,2,1,2,126,30369,736,61,102,3.224
P00391,linkedin,image,Thu,23,0,8,382,104070,1080,166,112,1.436
P00392,instagram,video,Sun,16,1,9,247,145313,6562,718,895,5.801
P00393,instagram,carousel,Mon,10,0,15,56,125136,4879,803,718,4.593
P00394,facebook,image,Mon,6,0,12,164,155516,2052,340,348,1.812
P00395,twitter,video,Sun,8,1,2,354,42956,1067,73,160,3.042
P00396,instagram,carousel,Fri,17,0,19,105,91682,2963,502,460,3.925
P00397,instagram,image,Tue,18,0,9,283,89865,2456,295,185,3.596
P00398,instagram,video,Sun,5,1,19,314,188005,2538,255,323,1.702
P00399,facebook,video,Mon,13,0,19,278,40939,1127,173,112,3.601
P00400,facebook,image,Fri,23,0,1,40,65611,637,105,122,1.313
P00401,linkedin,text,Tue,6,0,10,152,4884,37,4,6,0.979
P00402,linkedin,carousel,Mon,16,0,8,142,30774,775,92,66,3.527
P00403,linkedin,image,Sat,4,1,9,140,196190,5540,451,511,3.503
P00404,linkedin,text,Sat,20,1,6,352,169612,2585,343,299,1.848
P00405,instagram,text,Mon,4,0,11,7,52199,643,126,126,1.65
P00406,facebook,image,Mon,7,0,9,217,140562,2801,327,218,2.539
P00407,instagram,carousel,Fri,11,0,3,392,118825,2995,610,435,3.43
P00408,instagram,image,Mon,8,0,5,350,181362,4174,393,488,3.201
P00409,twitter,text,Sat,4,1,2,244,60399,568,92,81,1.176
P00410,facebook,carousel,Sun,15,1,16,399,198872,2954,586,471,2.063
P00411,twitter,carousel,Sat,0,1,13,163,74439,1535,223,139,2.523
P00412,facebook,image,Tue,23,0,7,246,143513,2537,209,440,2.386
P00413,facebook,text,Tue,1,0,7,219,79853,1240,125,89,1.887
P00414,facebook,image,Fri,8,0,1,23,134470,2773,215,484,2.731
P00415,instagram,image,Mon,22,0,5,21,67341,2360,344,222,4.639
P00416,instagram,image,Thu,3,0,18,359,168737,69,13,9,0.05
P00417,facebook,carousel,Thu,1,0,0,73,127661,3598,405,393,3.63
P00418,instagram,image,Sat,17,1,2,145,58110,1428,130,217,3.365
P00419,twitter,text,Tue,1,0,16,251,192206,1136,106,105,0.714
P00420,instagram,carousel,Sat,21,1,10,232,141980,5844,833,832,5.481
P00421,instagram,image,Fri,10,0,0,208,86012,2180,326,155,3.543
P00422,linkedin,image,Tue,20,0,9,391,27609,921,88,106,4.377
P00423,instagram,image,Wed,5,0,14,315,194678,2919,464,493,1.908
P00424,twitter,video,Mon,3,0,6,377,151121,1256,93,153,1.05
P00425,linkedin,carousel,Thu,23,0,7,265,133725,4182,569,506,3.789
P00426,instagram,image,Tue,18,0,12,391,166705,4075,483,585,3.129
P00427,facebook,carousel,Mon,21,0,11,242,121623,5272,451,671,5.909
P00428,facebook,image,Thu,7,0,18,218,46785,582,89,108,1.684
P00429,linkedin,carousel,Thu,9,0,4,327,47802,1036,170,131,3.031
P00430,linkedin,text,Mon,13,0,5,348,16275,234,27,42,1.777
P00431,linkedin,carousel,Tue,10,0,3,31,13052,467,85,90,4.994
P00432,facebook,carousel,Mon,5,0,13,364,145871,1235,158,144,1.071
P00433,instagram,carousel,Fri,9,0,10,277,170460,3695,368,405,2.745
P00434,facebook,image,Wed,14,0,6,359,33202,975,173,140,3.59
P00435,twitter,image,Mon,0,0,13,287,115009,1054,214,186,1.289
P00436,facebook,image,Tue,8,0,7,371,25220,358,29,34,1.941
P00437,facebook,video,Sun,7,1,3,113,83175,3086,534,273,4.436
P00438,facebook,carousel,Tue,1,0,10,79,158251,3639,591,299,2.926
P00439,linkedin,video,Fri,2,0,8,82,162487,3629,286,595,2.905
P00440,twitter,text,Thu,11,0,8,104,189776,3787,475,566,2.457
P00441,instagram,image,Tue,2,0,8,89,62460,1664,107,137,3.188
P00442,instagram,carousel,Wed,8,0,18,179,189772,3879,571,544,2.764
P00443,facebook,image,Mon,13,0,4,83,156831,3307,567,501,2.525
P00444,facebook,image,Sat,20,1,5,67,68055,2280,276,461,4.677
P00445,facebook,carousel,Wed,2,0,11,211,65928,1612,192,129,2.888
P00446,instagram,text,Thu,10,0,0,318,21958,360,36,40,2.263
P00447,facebook,video,Tue,2,0,2,58,184215,4373,615,501,3.208
P00448,facebook,image,Sat,10,1,11,206,41059,841,153,132,2.867
P00449,facebook,video,Tue,11,0,10,265,53959,2032,177,158,4.59
P00450,facebook,image,Thu,19,0,13,283,82877,2086,259,171,2.969
P00451,linkedin,text,Sun,10,1,2,46,27942,590,68,101,2.834
P00452,facebook,carousel,Fri,22,0,17,294,161291,3093,515,430,2.561
P00453,linkedin,image,Fri,3,0,9,15,139770,2730,442,243,2.633
P00454,facebook,image,Sun,1,1,3,98,31746,620,103,76,2.7
P00455,facebook,image,Tue,0,0,6,131,32988,394,42,31,1.458
P00456,facebook,text,Sun,8,1,4,341,4888,81,13,10,2.334
P00457,instagram,video,Thu,4,0,9,80,189897,5420,738,577,3.377
P00458,instagram,carousel,Wed,2,0,9,314,87438,2529,356,184,3.447
P00459,facebook,video,Tue,5,0,8,395,131283,2881,432,225,3.058
P00460,linkedin,video,Sat,23,1,9,384,30419,938,164,166,3.956
P00461,facebook,image,Sun,19,1,18,124,46556,1548,137,253,3.916
P00462,instagram,text,Fri,0,0,19,42,108527,1188,80,72,1.322
P00463,facebook,image,Mon,21,0,9,92,42159,1778,322,251,5.225
P00464,instagram,video,Thu,4,0,19,308,122779,1543,123,130,1.787
P00465,linkedin,carousel,Sat,9,1,16,82,184813,4779,944,882,3.641
P00466,linkedin,video,Wed,7,0,16,260,61367,1323,180,223,2.632
P00467,facebook,text,Sat,9,1,4,152,121767,3138,588,463,3.406
P00468,facebook,image,Fri,18,0,8,307,183175,3931,523,547,2.682
P00469,instagram,video,Mon,17,0,7,244,178800,7534,1227,810,5.196
P00470,facebook,video,Thu,14,0,1,236,2040,68,11,7,4.395
P00471,linkedin,video,Tue,15,0,1,313,22489,670,95,93,4.131
P00472,linkedin,image,Thu,17,0,12,382,197246,3968,452,332,2.654
P00473,facebook,image,Wed,4,0,8,149,185115,3838,232,542,2.496
P00474,instagram,image,Sat,9,1,16,213,64721,2137,214,277,4.405
P00475,instagram,image,Sun,2,1,13,252,104249,1796,368,172,2.429
P00476,instagram,video,Thu,16,0,1,330,114773,2262,208,292,2.336
P00477,instagram,video,Thu,10,0,16,195,133850,3773,589,609,3.514
P00478,instagram,video,Fri,15,0,9,152,150200,4228,546,589,3.604
P00479,twitter,video,Fri,13,0,11,339,74888,2442,240,305,3.956
P00480,facebook,video,Fri,6,0,19,381,178041,1534,300,271,1.131
P00481,instagram,image,Sat,3,1,12,229,12298,351,23,21,3.368
P00482,instagram,video,Sun,23,1,0,45,6970,248,32,33,4.289
P00483,instagram,image,Sat,7,1,3,119,191615,5392,699,661,3.792
P00484,linkedin,image,Mon,2,0,8,187,35846,685,52,63,2.53
P00485,instagram,video,Thu,7,0,0,282,198922,7349,708,1467,4.983
P00486,linkedin,video,Thu,21,0,3,269,57549,2677,400,303,5.823
P00487,linkedin,image,Thu,6,0,15,328,73227,706,54,74,1.211
P00488,instagram,video,Thu,23,0,2,16,6081,201,34,17,4.255
P00489,facebook,video,Sat,11,1,3,188,188801,8748,1165,1551,5.484
P00490,twitter,carousel,Wed,20,0,10,281,72180,1993,155,351,3.581
P00491,facebook,video,Tue,15,0,1,394,33961,650,63,45,2.34
P00492,instagram,carousel,Thu,1,0,5,61,96926,2952,235,394,3.813
P00493,twitter,image,Sat,12,1,18,352,31359,103,17,9,0.421
P00494,linkedin,carousel,Wed,10,0,12,8,158060,5004,732,861,4.482
P00495,facebook,video,Mon,4,0,19,82,15085,244,15,30,2.027
P00496,facebook,video,Sun,13,1,7,339,100094,3783,495,290,4.746
P00497,instagram,video,Tue,2,0,12,315,78558,1722,235,253,3.05
P00498,linkedin,video,Fri,16,0,4,389,7917,296,41,51,4.562
P00499,facebook,video,Sat,19,1,7,242,10934,410,28,45,4.869
P00500,instagram,carousel,Tue,2,0,3,248,103973,3020,216,222,3.88
P00501,facebook,text,Wed,11,0,16,216,79234,875,90,153,1.34
P00502,twitter,text,Tue,15,0,3,207,26384,266,42,23,1.34
P00503,linkedin,video,Tue,1,0,4,208,28108,627,92,77,2.811
P00504,instagram,video,Tue,9,0,9,120,161062,6923,680,912,5.422
P00505,instagram,carousel,Tue,6,0,8,342,146240,2947,298,307,2.847
P00506,twitter,image,Thu,0,0,6,145,121753,2100,326,186,2.26
P00507,twitter,carousel,Thu,19,0,7,246,166755,5385,387,450,4.403
P00508,facebook,video,Mon,10,0,5,269,14326,364,53,28,3.477
P00509,facebook,image,Sat,18,1,18,217,137719,4398,509,555,4.001
P00510,facebook,image,Fri,14,0,11,246,150629,3697,389,707,3.498
P00511,facebook,carousel,Mon,21,0,18,24,40498,1397,169,104,4.08
P00512,instagram,image,Sat,23,1,19,129,107505,2526,239,399,3.094
P00513,instagram,image,Mon,14,0,13,182,153486,2582,369,316,2.259
P00514,instagram,image,Thu,8,0,16,160,120892,2112,164,135,2.085
P00515,linkedin,image,Thu,10,0,2,363,50275,1027,120,138,2.644
P00516,instagram,image,Thu,19,0,18,359,133117,2123,271,202,2.014
P00517,instagram,carousel,Sun,10,1,9,286,152017,5040,333,692,4.122
P00518,facebook,image,Sun,12,1,14,144,2437,61,8,6,3.017
P00519,instagram,carousel,Tue,4,0,4,25,113695,2819,490,457,3.447
P00520,instagram,text,Fri,23,0,1,303,101170,1658,339,330,2.301
P00521,facebook,video,Sun,15,1,17,354,73659,1925,159,169,3.078
P00522,instagram,image,Sat,7,1,8,198,9325,225,23,46,3.446
P00523,facebook,video,Sun,14,1,2,331,17156,579,58,51,4.189
P00524,twitter,image,Thu,9,0,13,372,150158,1625,285,117,1.367
P00525,instagram,video,Tue,3,0,1,220,165588,4614,534,408,3.559
P00526,twitter,text,Thu,20,0,9,87,84141,1340,131,215,1.947
P00527,twitter,text,Sat,21,1,14,13,187960,3155,461,438,1.977
P00528,linkedin,carousel,Sun,20,1,14,303,185568,5550,422,1154,4.23
P00529,facebook,image,Fri,8,0,9,227,133350,3502,464,535,3.315
P00530,facebook,carousel,Fri,6,0,7,65,116394,2541,299,287,2.703
P00531,facebook,carousel,Thu,1,0,16,26,192926,1278,193,239,0.888
P00532,facebook,video,Wed,17,0,3,387,122154,2816,416,492,2.764
P00533,instagram,video,Wed,7,0,1,131,186855,7511,806,1262,5.23
P00534,twitter,image,Thu,21,0,3,134,195806,6817,1069,994,4.804
P00535,facebook,image,Sat,20,1,16,253,39324,1496,185,240,4.594
P00536,linkedin,video,Thu,3,0,9,148,132305,4393,331,355,3.946
P00537,instagram,image,Sat,22,1,0,365,146376,3273,632,641,3.127
P00538,instagram,image,Mon,3,0,3,273,164106,2079,321,384,1.559
P00539,facebook,carousel,Sat,11,1,0,146,70186,2088,405,332,4.062
P00540,facebook,text,Thu,11,0,16,110,172389,2748,478,273,2.274
P00541,facebook,video,Sun,22,1,9,344,97759,2629,265,229,3.638
P00542,instagram,carousel,Thu,15,0,1,238,77673,3025,340,533,4.703
P00543,instagram,text,Thu,21,0,4,367,31814,590,73,112,2.573
P00544,facebook,image,Mon,14,0,12,141,64579,1754,131,304,3.774
P00545,instagram,video,Sat,19,1,11,13,194968,6661,748,1190,4.213
P00546,twitter,video,Fri,20,0,16,360,143381,3017,335,398,2.765
P00547,instagram,image,Sun,20,1,0,99,145364,5026,351,966,4.787
P00548,instagram,carousel,Mon,9,0,1,338,179182,4032,739,364,3.063
P00549,instagram,video,Tue,9,0,0,285,53748,2016,158,168,4.578
P00550,facebook,video,Sun,23,1,7,96,132479,4269,538,545,4.061
P00551,facebook,image,Mon,18,0,14,303,74608,1946,307,199,3.204
P00552,facebook,image,Thu,22,0,13,37,169674,3647,564,476,3.008
P00553,twitter,text,Wed,13,0,4,160,84785,1641,143,277,2.519
P00554,instagram,image,Sun,22,1,13,145,171048,6457,881,436,4.606
P00555,facebook,image,Sat,17,1,13,264,149632,3642,619,601,3.29
P00556,instagram,image,Sun,17,1,3,216,154504,3670,685,298,3.275
P00557,instagram,video,Wed,4,0,14,246,185176,4339,469,772,3.094
P00558,facebook,video,Fri,13,0,8,193,158229,5782,412,541,4.872
P00559,instagram,video,Fri,17,0,1,297,64627,1878,286,319,3.993
P00560,facebook,image,Sun,18,1,7,68,104542,4539,391,588,5.15
P00561,facebook,image,Mon,22,0,15,288,94763,3076,510,353,4.202
P00562,linkedin,carousel,Sun,7,1,13,24,13383,381,57,37,3.593
P00563,facebook,video,Wed,7,0,5,38,118844,4333,768,336,5.077
P00564,facebook,video,Mon,23,0,15,290,87766,1662,308,179,2.392
P00565,instagram,carousel,Fri,23,0,7,67,78972,2906,402,260,4.697
P00566,instagram,carousel,Sat,4,1,9,309,22368,678,113,51,3.61
P00567,instagram,image,Mon,9,0,1,57,101084,2294,344,373,2.978
P00568,facebook,video,Mon,22,0,19,62,116018,3400,284,296,3.586
P00569,twitter,video,Sun,4,1,16,373,21588,119,21,12,0.737
P00570,instagram,image,Sun,18,1,3,75,127169,4428,672,473,4.425
P00571,facebook,carousel,Tue,2,0,11,365,33951,577,102,66,2.024
P00572,linkedin,video,Sun,4,1,15,142,29428,1025,96,131,4.39
P00573,linkedin,carousel,Sun,18,1,10,319,80519,2825,292,408,4.349
P00574,facebook,text,Sun,14,1,4,376,78121,235,37,31,0.362
P00575,facebook,video,Tue,13,0,19,51,183030,3929,264,460,2.559
P00576,facebook,text,Fri,20,0,5,135,14000,354,55,43,3.457
P00577,linkedin,video,Sun,7,1,6,231,70196,2733,388,287,5.337
P00578,instagram,text,Sun,12,1,7,346,147036,2407,206,372,2.092
P00579,twitter,image,Fri,14,0,17,78,50333,1077,84,104,2.52
P00580,instagram,video,Tue,17,0,10,78,196323,7688,1302,1341,5.062
P00581,linkedin,video,Mon,7,0,14,150,148701,4026,277,583,3.612
P00582,instagram,image,Tue,15,0,18,85,189244,3002,480,436,2.032
P00583,instagram,video,Mon,10,0,18,110,189851,6223,1081,885,4.619
P00584,instagram,text,Tue,13,0,17,56,22278,434,69,85,2.679
P00585,facebook,video,Mon,20,0,18,332,92095,1613,203,206,2.424
P00586,instagram,image,Sat,9,1,18,319,149044,1848,139,243,1.76
P00587,instagram,image,Fri,16,0,19,62,2216,57,9,10,3.198
P00588,facebook,image,Thu,22,0,12,217,90682,2918,244,431,4.297
P00589,facebook,image,Sat,18,1,2,260,137785,4789,516,627,4.793
P00590,linkedin,text,Wed,23,0,2,252,158680,2500,466,245,2.028
P00591,linkedin,video,Wed,14,0,15,393,83304,2058,220,205,3.301
P00592,facebook,image,Tue,6,0,6,258,172671,3565,355,611,2.721
P00593,instagram,video,Thu,23,0,16,276,134892,3937,776,411,3.905
P00594,instagram,image,Tue,15,0,18,17,9576,173,14,12,2.574
P00595,twitter,image,Fri,5,0,12,36,55904,886,73,57,1.973
P00596,instagram,carousel,Sun,7,1,15,249,187614,5960,780,1230,4.433
P00597,facebook,video,Thu,6,0,5,363,980,14,3,2,1.999
P00598,twitter,text,Wed,20,0,8,162,22052,666,127,90,4.145
P00599,twitter,video,Fri,2,0,19,259,69226,815,136,154,1.57
P00600,facebook,video,Sat,17,1,16,87,198765,6158,1255,724,4.279
P00601,facebook,carousel,Thu,13,0,4,185,141106,4844,333,834,4.564
P00602,facebook,text,Tue,1,0,18,301,29958,11,2,2,0.05
P00603,linkedin,carousel,Fri,14,0,9,265,78926,2243,195,309,4.007
P00604,instagram,text,Tue,18,0,16,50,187938,4377,743,672,2.804
P00605,instagram,carousel,Sun,17,1,10,352,44225,1359,262,267,4.121
P00606,facebook,text,Wed,12,0,12,371,115308,2202,248,216,2.673
P00607,instagram,image,Wed,8,0,3,193,93069,2124,362,141,2.932
P00608,facebook,carousel,Sat,3,1,6,139,152211,3106,489,571,2.84
P00609,instagram,video,Mon,0,0,14,214,150593,4365,321,483,3.552
P00610,linkedin,video,Tue,8,0,16,321,166740,2478,385,365,2.096
P00611,linkedin,carousel,Mon,15,0,1,183,24326,953,183,89,5.09
P00612,facebook,text,Wed,0,0,1,16,91041,885,85,141,1.156
P00613,linkedin,text,Thu,23,0,13,33,138504,2418,167,408,2.412
P00614,instagram,image,Tue,14,0,8,325,84090,1804,365,359,2.939
P00615,facebook,carousel,Wed,7,0,16,315,133635,1782,206,220,1.688
P00616,instagram,carousel,Sat,23,1,1,309,127335,3005,330,524,2.786
P00617,linkedin,image,Sun,4,1,6,54,74462,1076,172,144,1.907
P00618,linkedin,image,Mon,22,0,0,72,20475,847,117,119,5.187
P00619,twitter,image,Fri,6,0,14,160,194082,1682,187,273,1.199
P00620,linkedin,carousel,Mon,9,0,17,96,165286,2885,217,359,2.192
P00621,twitter,video,Thu,10,0,3,157,178993,6299,1133,907,4.769
P00622,instagram,text,Sun,23,1,6,225,60314,1324,164,121,2.771
P00623,twitter,video,Sat,6,1,16,115,63574,997,164,121,2.2
P00624,facebook,text,Tue,23,0,0,53,65025,1261,220,195,2.491
P00625,facebook,video,Tue,8,0,19,163,6702,167,12,12,3.393
P00626,facebook,carousel,Sat,6,1,17,290,34356,300,51,45,1.089
P00627,instagram,image,Sat,15,1,3,249,62006,1767,272,175,3.508
P00628,instagram,video,Tue,16,0,2,131,197480,8640,1511,806,5.289
P00629,instagram,carousel,Mon,8,0,13,127,41342,1841,159,259,5.246
P00630,instagram,text,Thu,3,0,0,235,101808,1167,125,109,1.491
P00631,facebook,carousel,Fri,9,0,10,73,109676,3306,480,604,3.765
P00632,linkedin,image,Thu,12,0,1,334,72280,1626,330,345,3.202
P00633,facebook,video,Sun,0,1,10,348,183789,3799,679,436,2.473
P00634,facebook,image,Sat,1,1,7,15,19098,394,46,45,2.606
P00635,facebook,image,Sat,22,1,14,388,174132,4790,652,363,3.604
P00636,facebook,carousel,Mon,0,0,17,14,148872,1536,135,257,1.348
P00637,instagram,carousel,Sat,9,1,9,186,61512,2727,400,222,5.448
P00638,linkedin,carousel,Sat,18,1,12,268,153660,5007,812,870,3.949
P00639,instagram,text,Wed,7,0,12,134,86005,1934,306,351,2.738
P00640,linkedin,carousel,Fri,11,0,19,85,194146,2543,277,204,1.687
P00641,linkedin,carousel,Sat,2,1,4,23,7790,205,40,32,3.476
P00642,facebook,image,Sun,19,1,4,292,6433,201,15,23,3.716
P00643,linkedin,image,Thu,15,0,7,19,109060,3342,418,438,3.854
P00644,instagram,video,Mon,20,0,14,196,186326,7920,1069,689,5.439
P00645,linkedin,text,Fri,20,0,17,160,13141,326,43,51,3.142
P00646,linkedin,image,Fri,8,0,5,387,155695,2212,350,186,1.788
P00647,linkedin,video,Mon,0,0,2,372,187751,2992,411,514,1.975
P00648,facebook,carousel,Sat,8,1,12,327,97531,3133,231,382,4.103
P00649,linkedin,image,Tue,3,0,11,293,173453,3306,270,451,2.293
P00650,twitter,video,Sun,12,1,7,219,151509,6256,779,1073,4.981
P00651,facebook,text,Thu,3,0,3,142,43230,45,7,7,0.135
P00652,linkedin,carousel,Wed,22,0,16,70,170908,4033,564,579,3.253
P00653,linkedin,image,Mon,14,0,16,387,140024,1791,195,206,1.626
P00654,facebook,text,Mon,6,0,14,157,3009,35,2,4,1.456
P00655,twitter,image,Sat,22,1,11,174,113820,4334,716,469,4.891
P00656,instagram,text,Wed,18,0,5,60,131048,4284,513,743,3.922
P00657,facebook,image,Sat,10,1,8,114,160370,3905,568,412,3.411
P00658,instagram,video,Tue,3,0,1,255,154370,2363,308,289,2.06
P00659,instagram,video,Sun,8,1,4,173,95392,3640,336,561,4.599
P00660,linkedin,image,Sun,14,1,9,236,60148,2592,239,266,5.125
P00661,instagram,text,Mon,18,0,8,88,38758,1059,78,192,3.576
P00662,instagram,image,Fri,6,0,1,37,18256,418,69,43,3.141
P00663,instagram,image,Sun,17,1,19,354,128148,1788,181,124,1.828
P00664,facebook,image,Wed,6,0,5,175,191974,5191,539,762,3.519
P00665,linkedin,carousel,Mon,5,0,10,147,16515,463,89,60,3.605
P00666,linkedin,carousel,Sun,10,1,9,118,140690,4500,538,870,4.316
P00667,instagram,text,Thu,3,0,9,264,117125,2411,326,298,2.756
P00668,facebook,image,Mon,9,0,16,227,34791,809,90,64,2.914
P00669,facebook,video,Sat,8,1,14,158,42934,1615,161,169,4.742
P00670,facebook,image,Fri,6,0,17,372,57248,23,1,3,0.05
P00671,facebook,video,Mon,18,0,7,361,137144,5103,914,731,4.918
P00672,instagram,text,Tue,7,0,5,83,60083,1449,188,150,3.215
P00673,facebook,carousel,Mon,16,0,8,258,165694,4771,773,666,3.825
P00674,facebook,video,Sun,17,1,11,387,74266,1364,236,228,2.179
P00675,facebook,video,Mon,15,0,6,197,22350,862,57,105,5.082
P00676,facebook,text,Sat,6,1,9,16,19547,233,35,34,1.51
P00677,linkedin,video,Thu,19,0,3,57,80353,2426,193,227,3.878
P00678,linkedin,image,Fri,5,0,11,268,81875,863,99,135,1.267
P00679,instagram,video,Sat,6,1,14,361,146837,1841,328,188,1.66
P00680,linkedin,image,Sun,20,1,10,55,95975,3441,257,486,4.686
P00681,linkedin,image,Mon,8,0,17,220,33158,778,140,75,2.839
P00682,instagram,image,Mon,16,0,19,201,43050,799,119,63,2.564
P00683,facebook,video,Mon,1,0,18,117,113521,2677,304,278,2.989
P00684,instagram,video,Fri,14,0,1,254,67166,2353,161,220,4.61
P00685,linkedin,image,Thu,20,0,17,351,134531,2293,294,377,2.011
P00686,instagram,video,Mon,17,0,6,99,184641,7296,898,692,4.889
P00687,facebook,text,Tue,13,0,9,26,71281,1449,148,304,2.897
P00688,instagram,carousel,Thu,20,0,8,146,110599,5928,711,712,6.489
P00689,facebook,video,Sat,7,1,5,129,166480,8780,559,786,6.547
P00690,twitter,image,Wed,9,0,17,292,42465,774,148,88,2.323
P00691,instagram,text,Sun,1,1,12,217,102376,1078,122,100,1.432
P00692,linkedin,image,Sun,16,1,19,12,61396,1239,168,229,2.794
P00693,twitter,image,Sat,17,1,19,139,125585,2056,333,160,2.061
P00694,linkedin,text,Thu,18,0,8,295,148744,3461,548,621,3.038
P00695,instagram,video,Sun,17,1,14,193,28604,1116,187,73,4.704
P00696,linkedin,carousel,Sat,3,1,10,227,37899,727,142,79,2.594
P00697,instagram,video,Thu,15,0,9,109,5120,213,18,17,5.241
P00698,instagram,carousel,Thu,18,0,14,131,2905,123,15,20,5.744
P00699,linkedin,image,Sat,4,1,13,56,10624,220,33,28,2.6
P00700,facebook,image,Thu,11,0,18,37,141508,3092,238,629,3.09
P00701,facebook,image,Tue,21,0,15,19,180832,4945,793,565,3.604
P00702,instagram,image,Sun,9,1,12,251,82236,1931,134,144,3.234
P00703,linkedin,text,Mon,18,0,18,67,176587,3045,544,486,2.18
P00704,linkedin,image,Fri,12,0,2,231,146072,3244,529,468,2.971
P00705,facebook,video,Fri,15,0,15,381,161614,4665,609,759,3.539
P00706,linkedin,carousel,Fri,15,0,7,280,148109,4003,519,517,3.769
P00707,instagram,carousel,Mon,15,0,8,232,40322,1679,319,265,5.314
P00708,instagram,video,Thu,18,0,15,51,104910,5345,838,455,6.457
P00709,facebook,video,Sun,21,1,5,198,105329,3899,725,831,5.263
P00710,twitter,text,Tue,7,0,17,357,128500,45,9,4,0.05
P00711,instagram,carousel,Fri,22,0,9,156,159325,6205,434,1106,5.219
P00712,instagram,carousel,Sun,15,1,6,331,22972,689,48,62,3.791
P00713,instagram,text,Sun,14,1,6,284,135096,3938,326,598,3.452
P00714,linkedin,carousel,Thu,7,0,8,110,166690,5145,833,981,4.325
P00715,instagram,image,Wed,10,0,18,60,23546,637,89,109,3.359
P00716,facebook,video,Fri,15,0,2,11,83284,3573,367,434,5.336
P00717,twitter,image,Thu,8,0,10,114,179160,4823,888,560,3.363
P00718,instagram,carousel,Fri,6,0,16,136,5362,115,9,20,2.758
P00719,facebook,text,Sat,19,1,9,264,32556,1209,183,154,4.394
P00720,facebook,video,Fri,9,0,11,231,160881,5843,739,845,4.684
P00721,linkedin,video,Tue,15,0,6,194,34773,1501,167,134,5.229
P00722,instagram,image,Sat,0,1,2,290,140545,2939,209,376,2.828
P00723,facebook,text,Thu,1,0,12,309,180251,1132,169,120,0.765
P00724,instagram,image,Sun,20,1,18,286,99964,2580,386,354,3.039
P00725,linkedin,image,Fri,3,0,10,359,97181,261,26,22,0.322
P00726,linkedin,image,Sun,19,1,8,147,86035,2947,402,358,4.595
P00727,instagram,image,Sun,21,1,2,330,74891,2631,352,429,4.248
P00728,instagram,video,Sun,11,1,18,171,76320,2562,311,375,4.7
P00729,linkedin,video,Sat,21,1,17,77,110954,4842,674,843,5.443
P00730,instagram,image,Fri,10,0,18,62,179161,3419,425,333,2.54
P00731,instagram,image,Mon,22,0,7,41,196288,6517,1124,767,4.157
P00732,facebook,image,Wed,5,0,12,382,173241,1835,294,241,1.39
P00733,instagram,video,Thu,10,0,8,71,24366,903,79,116,5.282
P00734,instagram,image,Sat,9,1,4,334,61700,1774,314,286,3.914
P00735,facebook,carousel,Fri,18,0,4,314,151511,5320,631,489,4.971
P00736,instagram,image,Thu,1,0,7,178,109333,2958,556,395,3.541
P00737,facebook,image,Tue,19,0,11,365,67198,1624,217,126,2.925
P00738,linkedin,video,Sat,0,1,2,363,62582,1351,88,188,2.662
P00739,facebook,video,Thu,7,0,14,370,23851,475,72,77,2.433
P00740,instagram,image,Mon,14,0,9,201,66817,2347,180,149,4.277
P00741,linkedin,image,Tue,3,0,17,122,84675,559,102,71,0.873
P00742,instagram,text,Sun,11,1,5,22,83477,2517,470,322,3.885
P00743,linkedin,image,Mon,23,0,1,336,109976,1397,215,220,1.636
P00744,instagram,video,Wed,19,0,6,349,54961,1714,247,137,4.349
P00745,linkedin,video,Thu,0,0,19,216,41589,1300,181,149,3.958
P00746,instagram,image,Mon,14,0,6,33,177559,5605,644,892,3.907
P00747,instagram,video,Tue,14,0,14,330,81351,2338,172,305,3.63
P00748,facebook,carousel,Sun,1,1,16,122,51322,1453,256,224,3.486
P00749,instagram,carousel,Fri,15,0,5,221,127317,4961,573,597,5.428
P00750,instagram,image,Tue,12,0,12,265,108692,3551,355,619,4.013
P00751,linkedin,image,Tue,16,0,4,62,115501,3331,315,263,3.944
P00752,linkedin,image,Wed,7,0,7,29,44692,1547,278,110,4.162
P00753,instagram,video,Sat,6,1,5,36,144770,5054,990,706,4.738
P00754,linkedin,carousel,Sat,17,1,13,383,38862,961,106,121,3.196
P00755,linkedin,image,Tue,17,0,17,383,167362,2351,231,346,1.817
P00756,linkedin,image,Sat,3,1,5,173,85098,2321,409,229,3.683
P00757,facebook,text,Sun,5,1,5,173,82123,1187,145,114,1.917
P00758,facebook,image,Tue,14,0,16,165,78003,1257,254,216,2.214
P00759,facebook,video,Mon,19,0,9,143,84881,3795,677,382,5.691
P00760,facebook,carousel,Sun,4,1,10,219,133230,4785,720,702,4.291
P00761,twitter,image,Thu,5,0,14,145,99590,1705,135,260,2.29
